2023-06-25 12:12:41,335 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:13:56,315 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:01,513 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:06,685 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:11,959 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:17,114 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:22,319 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:27,517 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:32,716 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:37,920 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:43,124 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:48,331 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:53,541 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:14:58,724 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:03,913 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:09,120 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:14,321 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:19,533 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:24,680 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:29,907 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:35,096 | ERROR    | <module>() app.py line=128 | [Errno 2] No such file or directory: '/home/pi/Desktop/raspi_walli_mqtt/secrets.yaml', trying to reconnect in 5 seconds,...
2023-06-25 12:15:40,305 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:15:45,512 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:15:50,652 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:15:55,871 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:16:01,068 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:16:06,264 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:16:11,439 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:16:16,640 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:16:21,830 | ERROR    | <module>() app.py line=128 | 'NoneType' object is not subscriptable, trying to reconnect in 5 seconds,...
2023-06-25 12:16:46,288 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-06-25 12:16:51,470 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-06-29 16:42:30,000 | ERROR    | do_capture() app.py line=48 | task_queue is full, skipping task={'func': 'capture', 'callback': <function after_capture at 0xb5b64340>}!
2023-06-29 16:42:30,003 | ERROR    | exit_and_reboot() app.py line=113 | Wallbox exited, rebooting now..
2023-06-29 16:42:37,436 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-06-29 16:42:42,642 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-06-29 17:37:15,000 | ERROR    | do_capture() app.py line=48 | task_queue is full, skipping task={'func': 'capture', 'callback': <function after_capture at 0xb5b11340>}!
2023-06-29 17:37:15,002 | ERROR    | exit_and_reboot() app.py line=113 | Wallbox exited, rebooting now..
2023-06-29 17:37:22,333 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-06-29 17:37:27,544 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-06-29 17:51:30,000 | ERROR    | do_capture() app.py line=48 | task_queue is full, skipping task={'func': 'capture', 'callback': <function after_capture at 0xb5ad5340>}!
2023-06-29 17:51:30,002 | ERROR    | exit_and_reboot() app.py line=113 | Wallbox exited, rebooting now..
2023-06-29 17:51:37,417 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-06-29 17:51:42,615 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-01 19:26:40,000 | ERROR    | do_capture() app.py line=48 | task_queue is full, skipping task={'func': 'capture', 'callback': <function after_capture at 0xb5b6c340>}!
2023-07-01 19:26:40,002 | ERROR    | exit_and_reboot() app.py line=113 | Wallbox exited, rebooting now..
2023-07-01 19:26:47,256 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-01 19:26:52,472 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-02 10:14:13,256 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-02 10:14:18,439 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-04 12:18:20,297 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-04 12:18:25,511 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-04 12:18:30,716 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-04 12:18:35,920 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-04 12:18:41,114 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:18:46,305 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:18:51,501 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:18:56,705 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:01,885 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:07,086 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:12,293 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:17,497 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:22,705 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:27,896 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:33,098 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:38,298 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:43,508 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:48,730 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:53,923 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:19:59,135 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:20:04,350 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:20:09,562 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:20:14,775 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:20:19,991 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:20:25,202 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:45:13,816 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:45:18,996 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-07-04 12:46:38,238 | ERROR    | _reg_write() wallbox.py line=177 | Error during Modbus write on adr=258, val=4
2023-07-06 19:03:20,000 | ERROR    | do_capture() app.py line=48 | task_queue is full, skipping task={'func': 'capture', 'callback': <function after_capture at 0xb5b45340>}!
2023-07-06 19:03:20,002 | ERROR    | exit_and_reboot() app.py line=113 | Wallbox exited, rebooting now..
2023-07-06 19:03:27,266 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-07-06 19:03:32,444 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-09-14 09:30:36,872 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-09-14 09:30:42,060 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-09-14 09:30:47,230 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-09-14 09:30:52,423 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-09-24 22:32:10,014 | ERROR    | capture() wallbox.py line=91 | Modbus read error occured! dir(r)=args, fcode, isError, message, string, with_traceback
2023-09-24 22:32:20,029 | ERROR    | _reg_write() wallbox.py line=177 | Error during Modbus write on adr=258, val=4
2023-10-08 13:22:45,883 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-08 13:22:51,095 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-08 13:22:56,235 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-08 13:23:01,414 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-08 13:23:06,642 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-08 13:23:11,892 | ERROR    | <module>() app.py line=128 | [Errno 101] Network is unreachable, trying to reconnect in 5 seconds,...
2023-10-08 13:23:17,088 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:22,301 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:27,498 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:32,643 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:37,833 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:43,008 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:48,217 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:53,424 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:23:58,632 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:03,835 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:09,033 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:14,236 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:19,446 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:24,654 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:29,865 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:35,071 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:40,286 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:45,474 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
2023-10-08 13:24:50,678 | ERROR    | <module>() app.py line=128 | [Errno 111] Connection refused, trying to reconnect in 5 seconds,...
